SYSBTC-71000 --- in 0.023086071014404297 seconds ---
SYSBTC-72000 --- in 0.023753881454467773 seconds ---
SYSBTC-73000 --- in 0.021943092346191406 seconds ---
SYSBTC-74000 --- in 0.026803016662597656 seconds ---
SYSBTC-75000 --- in 0.02006387710571289 seconds ---
SYSBTC-76000 --- in 0.0202939510345459 seconds ---
SYSBTC-77000 --- in 0.02351689338684082 seconds ---
SYSBTC-78000 --- in 0.034707069396972656 seconds ---
SYSBTC-79000 --- in 0.022841930389404297 seconds ---
SYSBTC-80000 --- in 0.02475905418395996 seconds ---
SYSBTC-81000 --- in 0.024877071380615234 seconds ---
SYSBTC-82000 --- in 0.02031111717224121 seconds ---
SYSBTC-83000 --- in 0.020720958709716797 seconds ---
SYSBTC-84000 --- in 0.020885944366455078 seconds ---
SYSBTC-85000 --- in 0.02202606201171875 seconds ---
SYSBTC-86000 --- in 0.02024388313293457 seconds ---
SYSBTC-87000 --- in 0.022368907928466797 seconds ---
SYSBTC-88000 --- in 0.020453214645385742 seconds ---
SYSBTC-89000 --- in 0.018767118453979492 seconds ---
SYSBTC-90000 --- in 0.019129037857055664 seconds ---
SYSBTC-91000 --- in 0.024618864059448242 seconds ---
SYSBTC-92000 --- in 0.02489018440246582 seconds ---
SYSBTC-93000 --- in 0.019315004348754883 seconds ---
SYSBTC-94000 --- in 0.02087712287902832 seconds ---
SYSBTC-95000 --- in 0.020180940628051758 seconds ---
SYSBTC-96000 --- in 0.059539079666137695 seconds ---
SYSBTC-97000 --- in 0.022170066833496094 seconds ---
SYSBTC-98000 --- in 0.02245187759399414 seconds ---
SYSBTC-99000 --- in 0.02080392837524414 seconds ---
**********************************
TOTAL BALANCE FOR SYSBTC: 93.42703122216352
TRADE COUNT FOR SYSBTC: 2
**********************************
LSKBTC-1000
KNCBTC-153657
KNCBTC-154657
KNCBTC-155657
**********************************
TOTAL BALANCE FOR KNCBTC: 100
TRADE COUNT FOR KNCBTC: 0
**********************************
REQBTC-63426
REQBTC-64426
REQBTC-65426
buy cond 2 working..
##### TRADE 0 #####
BUY: 51282051.28205128 REQBTC for 1.95e-06 at 2020-02-18 16:16 - index: 65826
     index              date  symbol  last_price  total_traded_quote_asset_volume  label_qav    score_qav   change_qav  change_price
400  65727  2020-02-18 16:14  REQBTC  0.00000188                      35.32494934          0  1.795868503  0.003267826   0.534759358
401  65728  2020-02-18 16:14  REQBTC  0.00000188                      35.32720534          0  1.795868503  0.006386421   0.000000000
402  65729  2020-02-18 16:14  REQBTC  0.00000188                      35.32946134          0  1.795868503  0.006386013   0.000000000
403  65730  2020-02-18 16:14  REQBTC  0.00000188                      35.32946134          0  1.795868503  0.000000000   0.000000000
404  65731  2020-02-18 16:14  REQBTC  0.00000188                      35.32946134          0  1.795868503  0.000000000   0.000000000
405  65732  2020-02-18 16:14  REQBTC  0.00000188                      35.32946134          0  1.795868503  0.000000000   0.000000000
406  65733  2020-02-18 16:14  REQBTC  0.00000188                      35.32946134          0  1.795868503  0.000000000   0.000000000
407  65734  2020-02-18 16:14  REQBTC  0.00000188                      35.32946134          0  1.795868503  0.000000000   0.000000000
408  65735  2020-02-18 16:14  REQBTC  0.00000188                      35.32946134          0  1.795868503  0.000000000   0.000000000
409  65736  2020-02-18 16:14  REQBTC  0.00000188                      35.32946134          0  1.795868503  0.000000000   0.000000000
410  65737  2020-02-18 16:14  REQBTC  0.00000188                      35.32946134          0  1.795868503  0.000000000   0.000000000
411  65738  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.001548509   0.000000000
412  65739  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
413  65740  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
414  65741  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
415  65742  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
416  65743  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
417  65744  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
418  65745  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
419  65746  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
420  65747  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
421  65748  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
422  65749  2020-02-18 16:14  REQBTC  0.00000188                      35.33000842          0  1.795868503  0.000000000   0.000000000
423  65750  2020-02-18 16:14  REQBTC  0.00000188                      35.35465146          0  1.795868503  0.069751016   0.000000000
424  65751  2020-02-18 16:14  REQBTC  0.00000188                      35.35465146          0  1.795868503  0.000000000   0.000000000
425  65752  2020-02-18 16:14  REQBTC  0.00000188                      35.35465146          0  1.795868503  0.000000000   0.000000000
426  65753  2020-02-18 16:14  REQBTC  0.00000188                      35.35465146          0  1.795868503  0.000000000   0.000000000
427  65754  2020-02-18 16:14  REQBTC  0.00000189                      35.37026475          0  1.795868503  0.044161912   0.531914894
428  65755  2020-02-18 16:14  REQBTC  0.00000190                      35.62034465          0  2.341972811  0.707034289   0.529100529
429  65756  2020-02-18 16:14  REQBTC  0.00000190                      35.62034465          0  2.341972811  0.000000000   0.000000000
430  65757  2020-02-18 16:14  REQBTC  0.00000190                      35.62034465          0  2.341972811  0.000000000   0.000000000
431  65758  2020-02-18 16:14  REQBTC  0.00000190                      35.62034465          0  2.341972811  0.000000000   0.000000000
432  65759  2020-02-18 16:14  REQBTC  0.00000190                      35.63445595          0  2.341972811  0.039615844   0.000000000
433  65760  2020-02-18 16:14  REQBTC  0.00000191                      36.00891549          0  2.341972811  1.050835575   0.526315789
434  65761  2020-02-18 16:14  REQBTC  0.00000191                      36.00891549          0  2.341972811  0.000000000   0.000000000
435  65762  2020-02-18 16:14  REQBTC  0.00000191                      36.00891549          0  2.341972811  0.000000000   0.000000000
436  65763  2020-02-18 16:14  REQBTC  0.00000191                      36.00891549          0  2.341972811  0.000000000   0.000000000
437  65764  2020-02-18 16:15  REQBTC  0.00000191                      36.00891549          0  2.341972811  0.000000000   0.000000000
438  65765  2020-02-18 16:15  REQBTC  0.00000191                      36.00891549          0  2.341972811  0.000000000   0.000000000
439  65766  2020-02-18 16:15  REQBTC  0.00000191                      36.00891549          0  2.341972811  0.000000000   0.000000000
440  65767  2020-02-18 16:15  REQBTC  0.00000191                      36.00891549          0  2.341972811  0.000000000   0.000000000
441  65768  2020-02-18 16:15  REQBTC  0.00000191                      36.00891549          0  2.341972811  0.000000000   0.000000000
442  65769  2020-02-18 16:15  REQBTC  0.00000191                      36.00891549          0  2.341972811  0.000000000   0.000000000
443  65770  2020-02-18 16:15  REQBTC  0.00000192                      36.01257192          0  2.341972811  0.010154235   0.523560209
444  65771  2020-02-18 16:15  REQBTC  0.00000191                      36.04177200          0  2.341972811  0.081083018  -0.520833333
445  65772  2020-02-18 16:15  REQBTC  0.00000191                      36.04177200          0  2.341972811  0.000000000   0.000000000
446  65773  2020-02-18 16:15  REQBTC  0.00000191                      36.04177200          0  2.341972811  0.000000000   0.000000000
447  65774  2020-02-18 16:15  REQBTC  0.00000191                      36.04177200          0  2.341972811  0.000000000   0.000000000
448  65775  2020-02-18 16:15  REQBTC  0.00000191                      36.04177200          0  2.341972811  0.000000000   0.000000000
449  65776  2020-02-18 16:15  REQBTC  0.00000191                      36.06903343          0  2.341972811  0.075638429   0.000000000
450  65777  2020-02-18 16:15  REQBTC  0.00000192                      36.07142374          0  2.341972811  0.006627042   0.523560209
451  65778  2020-02-18 16:15  REQBTC  0.00000192                      36.09297118          0  2.341972811  0.059735485   0.000000000
452  65779  2020-02-18 16:15  REQBTC  0.00000192                      36.09297118          0  2.341972811  0.000000000   0.000000000
453  65780  2020-02-18 16:15  REQBTC  0.00000191                      36.09599434          0  2.341972811  0.008376035  -0.520833333
454  65781  2020-02-18 16:15  REQBTC  0.00000191                      36.09599434          0  2.341972811  0.000000000   0.000000000
455  65782  2020-02-18 16:15  REQBTC  0.00000191                      36.09599434          0  2.341972811  0.000000000   0.000000000
456  65783  2020-02-18 16:15  REQBTC  0.00000191                      36.09599434          0  2.341972811  0.000000000   0.000000000
457  65784  2020-02-18 16:15  REQBTC  0.00000191                      36.09981434          0  2.341972811  0.010582892   0.000000000
458  65785  2020-02-18 16:15  REQBTC  0.00000192                      36.17787194          0  2.184884599  0.216227151   0.523560209
459  65786  2020-02-18 16:15  REQBTC  0.00000192                      36.17787194          0  2.184884599  0.000000000   0.000000000
460  65787  2020-02-18 16:15  REQBTC  0.00000192                      36.17787194          0  2.184884599  0.000000000   0.000000000
461  65788  2020-02-18 16:15  REQBTC  0.00000192                      36.19192058          0  2.184884599  0.038832135   0.000000000
462  65789  2020-02-18 16:15  REQBTC  0.00000193                      36.21652324          0  2.184884599  0.067978321   0.520833333
463  65790  2020-02-18 16:15  REQBTC  0.00000193                      36.21652324          0  2.184884599  0.000000000   0.000000000
464  65791  2020-02-18 16:15  REQBTC  0.00000193                      36.21652324          0  2.184884599  0.000000000   0.000000000
465  65792  2020-02-18 16:15  REQBTC  0.00000193                      36.21652324          0  2.184884599  0.000000000   0.000000000
466  65793  2020-02-18 16:15  REQBTC  0.00000193                      36.21652324          0  2.184884599  0.000000000   0.000000000
467  65794  2020-02-18 16:15  REQBTC  0.00000193                      36.21652324          0  2.184884599  0.000000000   0.000000000
468  65795  2020-02-18 16:15  REQBTC  0.00000193                      36.26735558          0  2.184884599  0.140356764   0.000000000
469  65796  2020-02-18 16:15  REQBTC  0.00000193                      36.28527335          0  2.184884599  0.049404677   0.000000000
470  65797  2020-02-18 16:15  REQBTC  0.00000193                      36.28527335          0  2.184884599  0.000000000   0.000000000
471  65798  2020-02-18 16:15  REQBTC  0.00000193                      36.28527335          0  2.184884599  0.000000000   0.000000000
472  65799  2020-02-18 16:15  REQBTC  0.00000193                      36.28527335          0  2.184884599  0.000000000   0.000000000
473  65800  2020-02-18 16:15  REQBTC  0.00000193                      36.28527335          0  2.184884599  0.000000000   0.000000000
474  65801  2020-02-18 16:15  REQBTC  0.00000193                      36.28527335          0  2.184884599  0.000000000   0.000000000
475  65802  2020-02-18 16:15  REQBTC  0.00000193                      36.28527335          0  2.184884599  0.000000000   0.000000000
476  65803  2020-02-18 16:15  REQBTC  0.00000193                      36.28527335          0  2.184884599  0.000000000   0.000000000
477  65804  2020-02-18 16:15  REQBTC  0.00000193                      36.29220697          0  2.184884599  0.019108634   0.000000000
478  65805  2020-02-18 16:15  REQBTC  0.00000193                      36.29335725          0  2.184884599  0.003169496   0.000000000
479  65806  2020-02-18 16:15  REQBTC  0.00000193                      36.29451525          0  2.184884599  0.003190667   0.000000000
