
############################################################################################################################################
BUY COND 4 - EXPERIMENTAL
##########################################################################################################################################

#algoritmanın bunları bulması ve 100lik çalışması lazım lazım  resimleri notesda:
#ticker1 ark lrc sky sys oax blz 90926 nebl 101330 oax 167747 #ticker2 enj 75784 knc 154156 req kava 152670 fuel 4375 lend 11326 band 183656 gto 56330
#algoritmanın bunları bulmaması lazım: ticker2 ftt 9460 BAND 94572 çok zayıf, ncash 9276 poe 7221 mft 11970 ftm 26728 cocos 2553

=======================================================================================================================================
WIN CONDITIONS
===============================================================================================================================================================================================================================================================================================================================================
        symbol  last_price  total_traded_quote_asset_volume  label_qav    score_qav   change_qav  change_price
342597  ARKBTC  0.00002280                      18.65251391          0 -3.548577284          NaN           NaN
342598  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342599  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342600  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342601  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342602  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342603  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342604  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342605  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342606  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342607  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342608  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342609  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342610  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342611  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342612  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342613  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342614  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342615  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342616  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342617  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342618  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342619  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342620  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342621  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342622  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342623  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342624  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342625  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342626  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342627  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342628  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342629  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342630  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342631  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342632  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342633  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342634  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342635  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342636  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342637  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342638  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342639  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342640  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342641  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342642  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342643  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342644  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342645  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342646  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342647  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342648  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342649  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342650  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342651  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342652  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342653  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342654  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342655  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342656  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342657  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342658  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342659  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342660  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342661  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342662  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342663  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342664  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342665  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342666  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342667  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342668  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342669  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342670  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342671  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342672  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342673  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342674  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342675  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342676  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342677  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342678  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342679  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342680  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342681  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342682  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342683  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342684  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342685  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342686  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342687  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342688  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342689  ARKBTC  0.00002280                      18.65251391          0 -3.548577284  0.000000000   0.000000000
342690  ARKBTC  0.00002280                      18.64783512          0 -3.548577284 -0.025083965   0.000000000
342691  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342692  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342693  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342694  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342695  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342696  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342697  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342698  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342699  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342700  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342701  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342702  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342703  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342704  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342705  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342706  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342707  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342708  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342709  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342710  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342711  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342712  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342713  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342714  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342715  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342716  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342717  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342718  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342719  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342720  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342721  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342722  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342723  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342724  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342725  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342726  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342727  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342728  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342729  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342730  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
342731  ARKBTC  0.00002280                      18.64783512          0 -3.548577284  0.000000000   0.000000000
